SNAPDIR=zdjecia
PROCESSED=4365
SNAP=512,512
SIZE=550,412 SNAP=512,512,0 COLOR=169,162,155
SIZE=640,480 SNAP=512,512,1 COLOR=122,131,139
SIZE=640,480 SNAP=512,512,2 COLOR=132,133,134
SIZE=640,480 SNAP=512,512,3 COLOR=109,112,115
SIZE=640,480 SNAP=512,512,4 COLOR=118,117,116
SIZE=640,480 SNAP=512,512,5 COLOR=110,104,98
SIZE=600,516 SNAP=512,512,6 COLOR=161,179,184
SIZE=675,451 SNAP=512,512,7 COLOR=152,146,140
SIZE=359,253 SNAP=512,512,8 COLOR=123,110,109
SIZE=350,388 SNAP=512,512,9 COLOR=95,103,85
SIZE=399,292 SNAP=512,512,10 COLOR=131,140,147
SIZE=602,791 SNAP=512,512,11 COLOR=105,75,70
SIZE=599,420 SNAP=512,512,12 COLOR=198,176,156
SIZE=500,667 SNAP=512,512,13 COLOR=143,142,127
SIZE=600,450 SNAP=512,512,14 COLOR=117,126,107
SIZE=550,413 SNAP=512,512,15 COLOR=157,169,165
SIZE=503,603 SNAP=512,512,16 COLOR=92,78,12
SIZE=962,630 SNAP=512,512,17 COLOR=182,180,174
SIZE=580,944 SNAP=512,512,18 COLOR=166,154,144
SIZE=800,452 SNAP=512,512,19 COLOR=102,117,67
SIZE=639,459 SNAP=512,512,20 COLOR=147,128,124
SIZE=640,480 SNAP=512,512,21 COLOR=112,77,51
SIZE=640,480 SNAP=512,512,22 COLOR=117,87,72
SIZE=640,480 SNAP=512,512,23 COLOR=119,89,75
SIZE=640,480 SNAP=512,512,24 COLOR=113,85,70
SIZE=640,480 SNAP=512,512,25 COLOR=99,72,59
SIZE=500,423 SNAP=512,512,26 COLOR=126,104,83
SIZE=1200,900 SNAP=512,512,27 COLOR=87,57,56
SIZE=1200,900 SNAP=512,512,28 COLOR=83,57,56
SIZE=1200,900 SNAP=512,512,29 COLOR=110,105,103
SIZE=1200,900 SNAP=512,512,30 COLOR=116,141,89
SIZE=1200,900 SNAP=512,512,31 COLOR=100,80,78
SIZE=1200,900 SNAP=512,512,32 COLOR=94,80,80
SIZE=1200,900 SNAP=512,512,33 COLOR=85,77,76
SIZE=1200,900 SNAP=512,512,34 COLOR=121,116,115
SIZE=1200,900 SNAP=512,512,35 COLOR=112,100,97
SIZE=1200,900 SNAP=512,512,36 COLOR=143,122,120
SIZE=1200,900 SNAP=512,512,37 COLOR=158,143,143
SIZE=1200,900 SNAP=512,512,38 COLOR=114,96,88
SIZE=1200,900 SNAP=512,512,39 COLOR=85,65,59
SIZE=1200,900 SNAP=512,512,40 COLOR=97,77,75
SIZE=900,1200 SNAP=512,512,41 COLOR=134,116,105
SIZE=1200,900 SNAP=512,512,42 COLOR=111,101,103
SIZE=1200,900 SNAP=512,512,43 COLOR=74,53,54
SIZE=1200,900 SNAP=512,512,44 COLOR=109,90,85
SIZE=1200,900 SNAP=512,512,45 COLOR=80,71,72
SIZE=1200,900 SNAP=512,512,46 COLOR=74,68,67
SIZE=1200,900 SNAP=512,512,47 COLOR=75,43,43
SIZE=900,1200 SNAP=512,512,48 COLOR=80,43,42
SIZE=1200,900 SNAP=512,512,49 COLOR=52,38,38
SIZE=1200,900 SNAP=512,512,50 COLOR=61,46,46
SIZE=1200,900 SNAP=512,512,51 COLOR=92,74,73
SIZE=1200,900 SNAP=512,512,52 COLOR=86,55,56
SIZE=1200,900 SNAP=512,512,53 COLOR=78,64,61
SIZE=1200,900 SNAP=512,512,54 COLOR=67,57,55
SIZE=1200,900 SNAP=512,512,55 COLOR=110,95,94
SIZE=1200,900 SNAP=512,512,56 COLOR=97,86,80
SIZE=1200,900 SNAP=512,512,57 COLOR=90,75,71
SIZE=1200,900 SNAP=512,512,58 COLOR=88,95,90
SIZE=1200,900 SNAP=512,512,59 COLOR=84,86,76
SIZE=1200,900 SNAP=512,512,60 COLOR=85,59,56
SIZE=1200,900 SNAP=512,512,61 COLOR=97,72,68
SIZE=1200,900 SNAP=512,512,62 COLOR=89,46,43
SIZE=1200,900 SNAP=512,512,63 COLOR=103,68,68
SIZE=1200,900 SNAP=512,512,64 COLOR=92,61,59
