t=0.600000, y(t)=1.144751, y'(t)=1.831468, z(t)=1.796540, z'(t)=-0.011308, v(t)=-0.081726, v'(t)=-0.666056, X(t)=4.253449, Y(t)=3.511353, Z(t)=1.484923
t=0.620000, y(t)=1.181329, y'(t)=1.826280, z(t)=1.796310, z'(t)=-0.011662, v(t)=-0.094335, v'(t)=-0.593242, X(t)=4.320646, Y(t)=3.498285, Z(t)=1.364104
t=0.640000, y(t)=1.217801, y'(t)=1.820954, z(t)=1.796073, z'(t)=-0.012015, v(t)=-0.105395, v'(t)=-0.511265, X(t)=4.381858, Y(t)=3.486752, Z(t)=1.241840
t=0.660000, y(t)=1.254166, y'(t)=1.815476, z(t)=1.795830, z'(t)=-0.012366, v(t)=-0.114734, v'(t)=-0.421470, X(t)=4.437053, Y(t)=3.476925, Z(t)=1.118322
t=0.680000, y(t)=1.290419, y'(t)=1.809832, z(t)=1.795579, z'(t)=-0.012716, v(t)=-0.122211, v'(t)=-0.325319, X(t)=4.486205, Y(t)=3.468946, Z(t)=0.993738
t=0.700000, y(t)=1.326558, y'(t)=1.804009, z(t)=1.795321, z'(t)=-0.013064, v(t)=-0.127715, v'(t)=-0.224371, X(t)=4.529301, Y(t)=3.462927, Z(t)=0.868280
t=0.720000, y(t)=1.362578, y'(t)=1.797992, z(t)=1.795056, z'(t)=-0.013411, v(t)=-0.131165, v'(t)=-0.120256, X(t)=4.566339, Y(t)=3.458948, Z(t)=0.742137
t=0.740000, y(t)=1.398476, y'(t)=1.791770, z(t)=1.794784, z'(t)=-0.013757, v(t)=-0.132515, v'(t)=-0.014644, X(t)=4.597328, Y(t)=3.457054, Z(t)=0.615498
t=0.760000, y(t)=1.434248, y'(t)=1.785331, z(t)=1.794506, z'(t)=-0.014101, v(t)=-0.131752, v'(t)=0.090772, X(t)=4.622285, Y(t)=3.457260, Z(t)=0.488554
t=0.780000, y(t)=1.469888, y'(t)=1.778665, z(t)=1.794220, z'(t)=-0.014444, v(t)=-0.128896, v'(t)=0.194313, X(t)=4.641243, Y(t)=3.459544, Z(t)=0.361490
t=0.800000, y(t)=1.505393, y'(t)=1.771761, z(t)=1.793928, z'(t)=-0.014786, v(t)=-0.124003, v'(t)=0.294335, X(t)=4.654241, Y(t)=3.463853, Z(t)=0.234492
t=0.820000, y(t)=1.540757, y'(t)=1.764611, z(t)=1.793629, z'(t)=-0.015126, v(t)=-0.117157, v'(t)=0.389257, X(t)=4.661331, Y(t)=3.470101, Z(t)=0.107744
t=0.840000, y(t)=1.575975, y'(t)=1.757206, z(t)=1.793323, z'(t)=-0.015465, v(t)=-0.108477, v'(t)=0.477586, X(t)=4.662577, Y(t)=3.478170, Z(t)=-0.018575
t=0.860000, y(t)=1.611043, y'(t)=1.749539, z(t)=1.793010, z'(t)=-0.015802, v(t)=-0.098107, v'(t)=0.557940, X(t)=4.658052, Y(t)=3.487914, Z(t)=-0.144287
t=0.880000, y(t)=1.645955, y'(t)=1.741604, z(t)=1.792691, z'(t)=-0.016138, v(t)=-0.086220, v'(t)=0.629069, X(t)=4.647838, Y(t)=3.499162, Z(t)=-0.269219
t=0.900000, y(t)=1.680706, y'(t)=1.733397, z(t)=1.792365, z'(t)=-0.016473, v(t)=-0.073013, v'(t)=0.689876, X(t)=4.632030, Y(t)=3.511717, Z(t)=-0.393202
t=0.920000, y(t)=1.715289, y'(t)=1.724913, z(t)=1.792032, z'(t)=-0.016806, v(t)=-0.058701, v'(t)=0.739433, X(t)=4.610729, Y(t)=3.525364, Z(t)=-0.516071
t=0.940000, y(t)=1.749700, y'(t)=1.716149, z(t)=1.791693, z'(t)=-0.017139, v(t)=-0.043516, v'(t)=0.776993, X(t)=4.584050, Y(t)=3.539869, Z(t)=-0.637667
t=0.960000, y(t)=1.783933, y'(t)=1.707104, z(t)=1.791347, z'(t)=-0.017469, v(t)=-0.027705, v'(t)=0.802006, X(t)=4.552112, Y(t)=3.554989, Z(t)=-0.757836
t=0.980000, y(t)=1.817982, y'(t)=1.697777, z(t)=1.790994, z'(t)=-0.017799, v(t)=-0.011522, v'(t)=0.814123, X(t)=4.515046, Y(t)=3.570466, Z(t)=-0.876429
t=1.000000, y(t)=1.851842, y'(t)=1.688168, z(t)=1.790635, z'(t)=-0.018127, v(t)=0.004773, v'(t)=0.813203, X(t)=4.472989, Y(t)=3.586043, Z(t)=-0.993304
t=1.020000, y(t)=1.885507, y'(t)=1.678280, z(t)=1.790269, z'(t)=-0.018454, v(t)=0.020920, v'(t)=0.799312, X(t)=4.426087, Y(t)=3.601458, Z(t)=-1.108326
t=1.040000, y(t)=1.918972, y'(t)=1.668114, z(t)=1.789896, z'(t)=-0.018779, v(t)=0.036661, v'(t)=0.772724, X(t)=4.374492, Y(t)=3.616454, Z(t)=-1.221365
t=1.060000, y(t)=1.952230, y'(t)=1.657675, z(t)=1.789518, z'(t)=-0.019104, v(t)=0.051747, v'(t)=0.733913, X(t)=4.318362, Y(t)=3.630783, Z(t)=-1.332301
t=1.080000, y(t)=1.985277, y'(t)=1.646969, z(t)=1.789132, z'(t)=-0.019426, v(t)=0.065940, v'(t)=0.683546, X(t)=4.257860, Y(t)=3.644205, Z(t)=-1.441019
t=1.100000, y(t)=2.018107, y'(t)=1.636000, z(t)=1.788741, z'(t)=-0.019748, v(t)=0.079018, v'(t)=0.622474, X(t)=4.193157, Y(t)=3.656499, Z(t)=-1.547412
t=1.120000, y(t)=2.050715, y'(t)=1.624777, z(t)=1.788342, z'(t)=-0.020068, v(t)=0.090775, v'(t)=0.551714, X(t)=4.124426, Y(t)=3.667460, Z(t)=-1.651381
t=1.140000, y(t)=2.083097, y'(t)=1.613309, z(t)=1.787938, z'(t)=-0.020388, v(t)=0.101029, v'(t)=0.472431, X(t)=4.051843, Y(t)=3.676905, Z(t)=-1.752835
