t=1.450000, y(t)=0.508357, y'(t)=0.331873, z(t)=-2.325985, z'(t)=-0.925386, v(t)=-0.158540, v'(t)=1.210519, X(t)=-1.807354, Y(t)=1.947611, Z(t)=-1.007065
t=1.500000, y(t)=0.524920, y'(t)=0.330631, z(t)=-2.371300, z'(t)=-0.887508, v(t)=-0.089634, v'(t)=1.517049, X(t)=-1.753764, Y(t)=2.088791, Z(t)=-1.015627
t=1.550000, y(t)=0.541420, y'(t)=0.329393, z(t)=-2.414764, z'(t)=-0.851314, v(t)=-0.010012, v'(t)=1.634871, X(t)=-1.702692, Y(t)=2.234374, Z(t)=-1.023934
t=1.600000, y(t)=0.557859, y'(t)=0.328161, z(t)=-2.456460, z'(t)=-0.816798, v(t)=0.070447, v'(t)=1.550390, X(t)=-1.648342, Y(t)=2.377554, Z(t)=-1.028518
t=1.650000, y(t)=0.574236, y'(t)=0.326932, z(t)=-2.496471, z'(t)=-0.783946, v(t)=0.141812, v'(t)=1.275040, X(t)=-1.586150, Y(t)=2.510392, Z(t)=-1.026179
t=1.700000, y(t)=0.590552, y'(t)=0.325709, z(t)=-2.534882, z'(t)=-0.752741, v(t)=0.195324, v'(t)=0.843748, X(t)=-1.513308, Y(t)=2.625047, Z(t)=-1.014455
t=1.750000, y(t)=0.606807, y'(t)=0.324489, z(t)=-2.571772, z'(t)=-0.723157, v(t)=0.224469, v'(t)=0.310506, X(t)=-1.428984, Y(t)=2.714996, Z(t)=-0.991968
t=1.800000, y(t)=0.623002, y'(t)=0.323275, z(t)=-2.607224, z'(t)=-0.695167, v(t)=0.225773, v'(t)=-0.258384, X(t)=-1.334233, Y(t)=2.776069, Z(t)=-0.958580
t=1.850000, y(t)=0.639135, y'(t)=0.322065, z(t)=-2.641315, z'(t)=-0.668741, v(t)=0.199214, v'(t)=-0.792553, X(t)=-1.231659, Y(t)=2.807148, Z(t)=-0.915369
t=1.900000, y(t)=0.655208, y'(t)=0.320859, z(t)=-2.674124, z'(t)=-0.643846, v(t)=0.148208, v'(t)=-1.226266, X(t)=-1.124895, Y(t)=2.810442, Z(t)=-0.864431
t=1.950000, y(t)=0.671221, y'(t)=0.319658, z(t)=-2.705725, z'(t)=-0.620448, v(t)=0.079171, v'(t)=-1.506514, X(t)=-1.017996, Y(t)=2.791280, Z(t)=-0.808536
t=2.000000, y(t)=0.687174, y'(t)=0.318462, z(t)=-2.736193, z'(t)=-0.598512, v(t)=0.000710, v'(t)=-1.599485, X(t)=-0.914848, Y(t)=2.757486, Z(t)=-0.750721
t=2.050000, y(t)=0.703067, y'(t)=0.317270, z(t)=-2.765600, z'(t)=-0.578005, v(t)=-0.077447, v'(t)=-1.494643, X(t)=-0.818667, Y(t)=2.718394, Z(t)=-0.693857
t=2.100000, y(t)=0.718901, y'(t)=0.316082, z(t)=-2.794016, z'(t)=-0.558891, v(t)=-0.145657, v'(t)=-1.205912, X(t)=-0.731644, Y(t)=2.683656, Z(t)=-0.640281
t=2.150000, y(t)=0.734676, y'(t)=0.314899, z(t)=-2.821512, z'(t)=-0.541137, v(t)=-0.195556, v'(t)=-0.769835, X(t)=-0.654784, Y(t)=2.662006, Z(t)=-0.591514
t=2.200000, y(t)=0.750391, y'(t)=0.313721, z(t)=-2.848152, z'(t)=-0.524710, v(t)=-0.221077, v'(t)=-0.240951, X(t)=-0.587914, Y(t)=2.660137, Z(t)=-0.548128
t=2.250000, y(t)=0.766048, y'(t)=0.312546, z(t)=-2.874004, z'(t)=-0.509579, v(t)=-0.219193, v'(t)=0.315020, X(t)=-0.529872, Y(t)=2.681841, Z(t)=-0.509753
t=2.300000, y(t)=0.781646, y'(t)=0.311377, z(t)=-2.899131, z'(t)=-0.495712, v(t)=-0.190275, v'(t)=0.829347, X(t)=-0.478797, Y(t)=2.727541, Z(t)=-0.475217
t=2.350000, y(t)=0.797185, y'(t)=0.310211, z(t)=-2.923596, z'(t)=-0.483081, v(t)=-0.138024, v'(t)=1.238778, X(t)=-0.432490, Y(t)=2.794241, Z(t)=-0.442808
t=2.400000, y(t)=0.812667, y'(t)=0.309050, z(t)=-2.947459, z'(t)=-0.471660, v(t)=-0.069004, v'(t)=1.493321, X(t)=-0.388774, Y(t)=2.875938, Z(t)=-0.410576
t=2.450000, y(t)=0.828091, y'(t)=0.307893, z(t)=-2.970782, z'(t)=-0.461424, v(t)=0.008184, v'(t)=1.562343, X(t)=-0.345808, Y(t)=2.964407, Z(t)=-0.376671
t=2.500000, y(t)=0.843456, y'(t)=0.306741, z(t)=-2.993621, z'(t)=-0.452348, v(t)=0.083978, v'(t)=1.438255, X(t)=-0.302308, Y(t)=3.050277, Z(t)=-0.339619
t=2.550000, y(t)=0.858765, y'(t)=0.305593, z(t)=-3.016035, z'(t)=-0.444412, v(t)=0.149031, v'(t)=1.137331, X(t)=-0.257655, Y(t)=3.124242, Z(t)=-0.298534
t=2.600000, y(t)=0.874016, y'(t)=0.304449, z(t)=-3.038081, z'(t)=-0.437597, v(t)=0.195372, v'(t)=0.697583, X(t)=-0.211886, Y(t)=3.178269, Z(t)=-0.253210
t=2.650000, y(t)=0.889210, y'(t)=0.303309, z(t)=-3.059814, z'(t)=-0.431886, v(t)=0.217376, v'(t)=0.173962, X(t)=-0.165584, Y(t)=3.206623, Z(t)=-0.204100
t=2.700000, y(t)=0.904347, y'(t)=0.302174, z(t)=-3.081288, z'(t)=-0.427264, v(t)=0.212450, v'(t)=-0.368508, X(t)=-0.119689, Y(t)=3.206610, Z(t)=-0.152181
t=2.750000, y(t)=0.919427, y'(t)=0.301043, z(t)=-3.102558, z'(t)=-0.423719, v(t)=0.181335, v'(t)=-0.862801, X(t)=-0.075270, Y(t)=3.178912, Z(t)=-0.098732
t=2.800000, y(t)=0.934451, y'(t)=0.299916, z(t)=-3.123677, z'(t)=-0.421240, v(t)=0.128003, v'(t)=-1.248171, X(t)=-0.033300, Y(t)=3.127501, Z(t)=-0.045068
t=2.850000, y(t)=0.949419, y'(t)=0.298794, z(t)=-3.144700, z'(t)=-0.419819, v(t)=0.059143, v'(t)=-1.477614, X(t)=0.005533, Y(t)=3.059128, Z(t)=0.007728
t=2.900000, y(t)=0.964330, y'(t)=0.297675, z(t)=-3.165677, z'(t)=-0.419450, v(t)=-0.016670, v'(t)=-1.523600, X(t)=0.040949, Y(t)=2.982465, Z(t)=0.059032
t=2.950000, y(t)=0.979186, y'(t)=0.296561, z(t)=-3.186662, z'(t)=-0.420129, v(t)=-0.090047, v'(t)=-1.381370, X(t)=0.073117, Y(t)=2.906998, Z(t)=0.108823
t=3.000000, y(t)=0.993987, y'(t)=0.295451, z(t)=-3.207707, z'(t)=-0.421854, v(t)=-0.151948, v'(t)=-1.069414, X(t)=0.102614, Y(t)=2.841830, Z(t)=0.157717
t=3.050000, y(t)=1.008732, y'(t)=0.294345, z(t)=-3.228865, z'(t)=-0.424627, v(t)=-0.194792, v'(t)=-0.627069, X(t)=0.130306, Y(t)=2.794532, Z(t)=0.206890
t=3.100000, y(t)=1.023421, y'(t)=0.293243, z(t)=-3.250187, z'(t)=-0.428449, v(t)=-0.213388, v'(t)=-0.109564, X(t)=0.157184, Y(t)=2.770197, Z(t)=0.257890
t=3.150000, y(t)=1.038056, y'(t)=0.292146, z(t)=-3.271727, z'(t)=-0.433325, v(t)=-0.205563, v'(t)=0.418875, X(t)=0.184177, Y(t)=2.770809, Z(t)=0.312374
t=3.200000, y(t)=1.052636, y'(t)=0.291052, z(t)=-3.293538, z'(t)=-0.439261, v(t)=-0.172414, v'(t)=0.892993, X(t)=0.211974, Y(t)=2.795008, Z(t)=0.371805
t=3.250000, y(t)=1.067161, y'(t)=0.289963, z(t)=-3.315671, z'(t)=-0.446268, v(t)=-0.118158, v'(t)=1.254563, X(t)=0.240890, Y(t)=2.838288, Z(t)=0.437161
