t=0.000000, y(t)=0.000000, y'(t)=0.000000, z(t)=0.000000, z'(t)=0.000000, v(t)=0.000000, v'(t)=0.000000, X(t)=0.000000, Y(t)=0.000000, Z(t)=0.000000
t=0.020000, y(t)=-0.002450, y'(t)=-0.244690, z(t)=-0.000688, z'(t)=-0.068777, v(t)=-0.001993, v'(t)=-0.199175, X(t)=-0.002450, Y(t)=-0.000688, Z(t)=-0.001993
t=0.040000, y(t)=-0.009774, y'(t)=-0.487404, z(t)=-0.002748, z'(t)=-0.137127, v(t)=-0.007959, v'(t)=-0.397158, X(t)=-0.009774, Y(t)=-0.002748, Z(t)=-0.007959
t=0.060000, y(t)=-0.021929, y'(t)=-0.727557, z(t)=-0.006170, z'(t)=-0.204900, v(t)=-0.017869, v'(t)=-0.593560, X(t)=-0.021929, Y(t)=-0.006170, Z(t)=-0.017869
t=0.080000, y(t)=-0.038856, y'(t)=-0.964571, z(t)=-0.010939, z'(t)=-0.271948, v(t)=-0.031688, v'(t)=-0.787995, X(t)=-0.038856, Y(t)=-0.010939, Z(t)=-0.031688
t=0.100000, y(t)=-0.060487, y'(t)=-1.197879, z(t)=-0.017042, z'(t)=-0.338126, v(t)=-0.049373, v'(t)=-0.980084, X(t)=-0.060487, Y(t)=-0.017042, Z(t)=-0.049373
t=0.120000, y(t)=-0.086743, y'(t)=-1.426923, z(t)=-0.024458, z'(t)=-0.403291, v(t)=-0.070874, v'(t)=-1.169454, X(t)=-0.086743, Y(t)=-0.024458, Z(t)=-0.070874
t=0.140000, y(t)=-0.117532, y'(t)=-1.651162, z(t)=-0.033166, z'(t)=-0.467301, v(t)=-0.096131, v'(t)=-1.355738, X(t)=-0.117532, Y(t)=-0.033166, Z(t)=-0.096131
t=0.160000, y(t)=-0.152753, y'(t)=-1.870067, z(t)=-0.043141, z'(t)=-0.530020, v(t)=-0.125080, v'(t)=-1.538578, X(t)=-0.152753, Y(t)=-0.043141, Z(t)=-0.125080
t=0.180000, y(t)=-0.192295, y'(t)=-2.083123, z(t)=-0.054357, z'(t)=-0.591314, v(t)=-0.157649, v'(t)=-1.717623, X(t)=-0.192295, Y(t)=-0.054357, Z(t)=-0.157649
t=0.200000, y(t)=-0.236036, y'(t)=-2.289833, z(t)=-0.066783, z'(t)=-0.651053, v(t)=-0.193757, v'(t)=-1.892532, X(t)=-0.236036, Y(t)=-0.066783, Z(t)=-0.193757
t=0.220000, y(t)=-0.283843, y'(t)=-2.489718, z(t)=-0.080388, z'(t)=-0.709111, v(t)=-0.233320, v'(t)=-2.062972, X(t)=-0.283843, Y(t)=-0.080388, Z(t)=-0.233320
t=0.240000, y(t)=-0.335576, y'(t)=-2.682318, z(t)=-0.095136, z'(t)=-0.765365, v(t)=-0.276244, v'(t)=-2.228623, X(t)=-0.335576, Y(t)=-0.095136, Z(t)=-0.276244
t=0.260000, y(t)=-0.391085, y'(t)=-2.867191, z(t)=-0.110990, z'(t)=-0.819698, v(t)=-0.322431, v'(t)=-2.389172, X(t)=-0.391085, Y(t)=-0.110990, Z(t)=-0.322431
t=0.280000, y(t)=-0.450210, y'(t)=-3.043917, z(t)=-0.127910, z'(t)=-0.871997, v(t)=-0.371775, v'(t)=-2.544321, X(t)=-0.450210, Y(t)=-0.127910, Z(t)=-0.371775
t=0.300000, y(t)=-0.512784, y'(t)=-3.212099, z(t)=-0.145855, z'(t)=-0.922155, v(t)=-0.424166, v'(t)=-2.693782, X(t)=-0.512784, Y(t)=-0.145855, Z(t)=-0.424166
t=0.320000, y(t)=-0.578634, y'(t)=-3.371360, z(t)=-0.164781, z'(t)=-0.970069, v(t)=-0.479487, v'(t)=-2.837281, X(t)=-0.578634, Y(t)=-0.164781, Z(t)=-0.479487
