t=0.000000, y(t)=0.000000, y'(t)=0.000000, z(t)=0.000000, z'(t)=0.000000, v(t)=0.000000, v'(t)=0.000000, X(t)=0.000000, Y(t)=0.000000, Z(t)=0.000000
t=0.340000, y(t)=-0.647577, y'(t)=-3.521349, z(t)=-0.184642, z'(t)=-1.015642, v(t)=-0.537616, v'(t)=-2.974554, X(t)=-0.647577, Y(t)=-0.184642, Z(t)=-0.537616
t=0.360000, y(t)=-0.719424, y'(t)=-3.661738, z(t)=-0.205391, z'(t)=-1.058782, v(t)=-0.598426, v'(t)=-3.105354, X(t)=-0.719424, Y(t)=-0.205391, Z(t)=-0.598426
t=0.380000, y(t)=-0.793980, y'(t)=-3.792223, z(t)=-0.226977, z'(t)=-1.099403, v(t)=-0.661785, v'(t)=-3.229446, X(t)=-0.793980, Y(t)=-0.226977, Z(t)=-0.661785
t=0.400000, y(t)=-0.871045, y'(t)=-3.912529, z(t)=-0.249350, z'(t)=-1.137425, v(t)=-0.727557, v'(t)=-3.346609, X(t)=-0.871045, Y(t)=-0.249350, Z(t)=-0.727557
t=0.420000, y(t)=-0.950412, y'(t)=-4.022403, z(t)=-0.272456, z'(t)=-1.172774, v(t)=-0.795602, v'(t)=-3.456637, X(t)=-0.950412, Y(t)=-0.272456, Z(t)=-0.795602
t=0.440000, y(t)=-1.031870, y'(t)=-4.121622, z(t)=-0.296242, z'(t)=-1.205383, v(t)=-0.865774, v'(t)=-3.559341, X(t)=-1.031870, Y(t)=-0.296242, Z(t)=-0.865774
t=0.460000, y(t)=-1.115204, y'(t)=-4.209988, z(t)=-0.320653, z'(t)=-1.235190, v(t)=-0.937926, v'(t)=-3.654544, X(t)=-1.115204, Y(t)=-0.320653, Z(t)=-0.937926
t=0.480000, y(t)=-1.200196, y'(t)=-4.287332, z(t)=-0.345631, z'(t)=-1.262141, v(t)=-1.011905, v'(t)=-3.742086, X(t)=-1.200196, Y(t)=-0.345631, Z(t)=-1.011905
t=0.500000, y(t)=-1.286623, y'(t)=-4.353511, z(t)=-0.371119, z'(t)=-1.286187, v(t)=-1.087557, v'(t)=-3.821825, X(t)=-1.286623, Y(t)=-0.371119, Z(t)=-1.087557
t=0.520000, y(t)=-1.374261, y'(t)=-4.408413, z(t)=-0.397059, z'(t)=-1.307286, v(t)=-1.164725, v'(t)=-3.893632, X(t)=-1.374261, Y(t)=-0.397059, Z(t)=-1.164725
t=0.540000, y(t)=-1.462884, y'(t)=-4.451951, z(t)=-0.423391, z'(t)=-1.325403, v(t)=-1.243249, v'(t)=-3.957396, X(t)=-1.462884, Y(t)=-0.423391, Z(t)=-1.243249
t=0.560000, y(t)=-1.552263, y'(t)=-4.484069, z(t)=-0.450055, z'(t)=-1.340511, v(t)=-1.322966, v'(t)=-4.013022, X(t)=-1.552263, Y(t)=-0.450055, Z(t)=-1.322966
t=0.580000, y(t)=-1.642170, y'(t)=-4.504737, z(t)=-0.476991, z'(t)=-1.352587, v(t)=-1.403715, v'(t)=-4.060431, X(t)=-1.642170, Y(t)=-0.476991, Z(t)=-1.403715
t=0.600000, y(t)=-1.732376, y'(t)=-4.513954, z(t)=-0.504138, z'(t)=-1.361617, v(t)=-1.485329, v'(t)=-4.099563, X(t)=-1.732376, Y(t)=-0.504138, Z(t)=-1.485329
t=0.620000, y(t)=-1.822652, y'(t)=-4.511750, z(t)=-0.531435, z'(t)=-1.367594, v(t)=-1.567642, v'(t)=-4.130372, X(t)=-1.822652, Y(t)=-0.531435, Z(t)=-1.567642
t=0.640000, y(t)=-1.912771, y'(t)=-4.498178, z(t)=-0.558821, z'(t)=-1.370515, v(t)=-1.650488, v'(t)=-4.152829, X(t)=-1.912771, Y(t)=-0.558821, Z(t)=-1.650488
t=0.660000, y(t)=-2.002504, y'(t)=-4.473322, z(t)=-0.586235, z'(t)=-1.370387, v(t)=-1.733699, v'(t)=-4.166925, X(t)=-2.002504, Y(t)=-0.586235, Z(t)=-1.733699
t=0.680000, y(t)=-2.091629, y'(t)=-4.437293, z(t)=-0.613616, z'(t)=-1.367222, v(t)=-1.817109, v'(t)=-4.172663, X(t)=-2.091629, Y(t)=-0.613616, Z(t)=-1.817109
t=0.700000, y(t)=-2.179922, y'(t)=-4.390229, z(t)=-0.640904, z'(t)=-1.361040, v(t)=-1.900550, v'(t)=-4.170066, X(t)=-2.179922, Y(t)=-0.640904, Z(t)=-1.900550
t=0.720000, y(t)=-2.267166, y'(t)=-4.332294, z(t)=-0.668038, z'(t)=-1.351866, v(t)=-1.983856, v'(t)=-4.159172, X(t)=-2.267166, Y(t)=-0.668038, Z(t)=-1.983856
t=0.740000, y(t)=-2.353143, y'(t)=-4.263679, z(t)=-0.694959, z'(t)=-1.339733, v(t)=-2.066862, v'(t)=-4.140036, X(t)=-2.353143, Y(t)=-0.694959, Z(t)=-2.066862
t=0.760000, y(t)=-2.437643, y'(t)=-4.184600, z(t)=-0.721608, z'(t)=-1.324678, v(t)=-2.149403, v'(t)=-4.112730, X(t)=-2.437643, Y(t)=-0.721608, Z(t)=-2.149403
t=0.780000, y(t)=-2.520459, y'(t)=-4.095297, z(t)=-0.747927, z'(t)=-1.306748, v(t)=-2.231317, v'(t)=-4.077339, X(t)=-2.520459, Y(t)=-0.747927, Z(t)=-2.231317
t=0.800000, y(t)=-2.601388, y'(t)=-3.996037, z(t)=-0.773859, z'(t)=-1.285993, v(t)=-2.312444, v'(t)=-4.033968, X(t)=-2.601388, Y(t)=-0.773859, Z(t)=-2.312444
t=0.820000, y(t)=-2.680236, y'(t)=-3.887106, z(t)=-0.799348, z'(t)=-1.262470, v(t)=-2.392624, v'(t)=-3.982733, X(t)=-2.680236, Y(t)=-0.799348, Z(t)=-2.392624
t=0.840000, y(t)=-2.756810, y'(t)=-3.768817, z(t)=-0.824340, z'(t)=-1.236244, v(t)=-2.471701, v'(t)=-3.923769, X(t)=-2.756810, Y(t)=-0.824340, Z(t)=-2.471701
t=0.860000, y(t)=-2.830928, y'(t)=-3.641503, z(t)=-0.848780, z'(t)=-1.207382, v(t)=-2.549524, v'(t)=-3.857225, X(t)=-2.830928, Y(t)=-0.848780, Z(t)=-2.549524
t=0.880000, y(t)=-2.902413, y'(t)=-3.505516, z(t)=-0.872618, z'(t)=-1.175959, v(t)=-2.625941, v'(t)=-3.783261, X(t)=-2.902413, Y(t)=-0.872618, Z(t)=-2.625941
t=0.900000, y(t)=-2.971094, y'(t)=-3.361232, z(t)=-0.895802, z'(t)=-1.142056, v(t)=-2.700806, v'(t)=-3.702057, X(t)=-2.971094, Y(t)=-0.895802, Z(t)=-2.700806
t=0.920000, y(t)=-3.036809, y'(t)=-3.209043, z(t)=-0.918284, z'(t)=-1.105756, v(t)=-2.773976, v'(t)=-3.613802, X(t)=-3.036809, Y(t)=-0.918284, Z(t)=-2.773976
t=0.940000, y(t)=-3.099405, y'(t)=-3.049360, z(t)=-0.940017, z'(t)=-1.067151, v(t)=-2.845312, v'(t)=-3.518700, X(t)=-3.099405, Y(t)=-0.940017, Z(t)=-2.845312
t=0.960000, y(t)=-3.158736, y'(t)=-2.882609, z(t)=-0.960956, z'(t)=-1.026335, v(t)=-2.914680, v'(t)=-3.416968, X(t)=-3.158736, Y(t)=-0.960956, Z(t)=-2.914680
t=0.980000, y(t)=-3.214666, y'(t)=-2.709235, z(t)=-0.981056, z'(t)=-0.983407, v(t)=-2.981948, v'(t)=-3.308836, X(t)=-3.214666, Y(t)=-0.981056, Z(t)=-2.981948
t=1.000000, y(t)=-3.267065, y'(t)=-2.529694, z(t)=-1.000278, z'(t)=-0.938471, v(t)=-3.046992, v'(t)=-3.194544, X(t)=-3.267065, Y(t)=-1.000278, Z(t)=-3.046992
t=1.020000, y(t)=-3.315815, y'(t)=-2.344459, z(t)=-1.018583, z'(t)=-0.891634, v(t)=-3.109691, v'(t)=-3.074344, X(t)=-3.315815, Y(t)=-1.018583, Z(t)=-3.109691
t=1.040000, y(t)=-3.360808, y'(t)=-2.154011, z(t)=-1.035932, z'(t)=-0.843008, v(t)=-3.169928, v'(t)=-2.948500, X(t)=-3.360808, Y(t)=-1.035932, Z(t)=-3.169928
t=1.060000, y(t)=-3.401944, y'(t)=-1.958846, z(t)=-1.052292, z'(t)=-0.792707, v(t)=-3.227595, v'(t)=-2.817284, X(t)=-3.401944, Y(t)=-1.052292, Z(t)=-3.227595
t=1.080000, y(t)=-3.439134, y'(t)=-1.759466, z(t)=-1.067630, z'(t)=-0.740851, v(t)=-3.282586, v'(t)=-2.680980, X(t)=-3.439134, Y(t)=-1.067630, Z(t)=-3.282586
t=1.100000, y(t)=-3.472298, y'(t)=-1.556385, z(t)=-1.081916, z'(t)=-0.687560, v(t)=-3.334802, v'(t)=-2.539880, X(t)=-3.472298, Y(t)=-1.081916, Z(t)=-3.334802
t=1.120000, y(t)=-3.501368, y'(t)=-1.350121, z(t)=-1.095123, z'(t)=-0.632957, v(t)=-3.384151, v'(t)=-2.394283, X(t)=-3.501368, Y(t)=-1.095123, Z(t)=-3.384151
t=1.140000, y(t)=-3.526285, y'(t)=-1.141200, z(t)=-1.107227, z'(t)=-0.577170, v(t)=-3.430546, v'(t)=-2.244497, X(t)=-3.526285, Y(t)=-1.107227, Z(t)=-3.430546
t=1.160000, y(t)=-3.547002, y'(t)=-0.930151, z(t)=-1.118203, z'(t)=-0.520326, v(t)=-3.473905, v'(t)=-2.090839, X(t)=-3.547002, Y(t)=-1.118203, Z(t)=-3.473905
t=1.180000, y(t)=-3.563481, y'(t)=-0.717506, z(t)=-1.128033, z'(t)=-0.462555, v(t)=-3.514155, v'(t)=-1.933628, X(t)=-3.563481, Y(t)=-1.128033, Z(t)=-3.514155
t=1.200000, y(t)=-3.575695, y'(t)=-0.503802, z(t)=-1.136700, z'(t)=-0.403990, v(t)=-3.551229, v'(t)=-1.773194, X(t)=-3.575695, Y(t)=-1.136700, Z(t)=-3.551229
t=1.220000, y(t)=-3.583629, y'(t)=-0.289571, z(t)=-1.144189, z'(t)=-0.344764, v(t)=-3.585064, v'(t)=-1.609867, X(t)=-3.583629, Y(t)=-1.144189, Z(t)=-3.585064
t=1.240000, y(t)=-3.587278, y'(t)=-0.075350, z(t)=-1.150487, z'(t)=-0.285010, v(t)=-3.615606, v'(t)=-1.443986, X(t)=-3.587278, Y(t)=-1.150487, Z(t)=-3.615606
t=1.260000, y(t)=-3.586647, y'(t)=0.138331, z(t)=-1.155586, z'(t)=-0.224863, v(t)=-3.642809, v'(t)=-1.275890, X(t)=-3.586647, Y(t)=-1.155586, Z(t)=-3.642809
t=1.280000, y(t)=-3.581752, y'(t)=0.350942, z(t)=-1.159480, z'(t)=-0.164457, v(t)=-3.666630, v'(t)=-1.105923, X(t)=-3.581752, Y(t)=-1.159480, Z(t)=-3.666630
t=1.300000, y(t)=-3.572620, y'(t)=0.561959, z(t)=-1.162164, z'(t)=-0.103928, v(t)=-3.687035, v'(t)=-0.934432, X(t)=-3.572620, Y(t)=-1.162164, Z(t)=-3.687035
t=1.320000, y(t)=-3.559288, y'(t)=0.770864, z(t)=-1.163637, z'(t)=-0.043411, v(t)=-3.703999, v'(t)=-0.761764, X(t)=-3.559288, Y(t)=-1.163637, Z(t)=-3.703999
t=1.340000, y(t)=-3.541803, y'(t)=0.977146, z(t)=-1.163901, z'(t)=0.016961, v(t)=-3.717500, v'(t)=-0.588268, X(t)=-3.541803, Y(t)=-1.163901, Z(t)=-3.717500
t=1.360000, y(t)=-3.520223, y'(t)=1.180302, z(t)=-1.162961, z'(t)=0.077055, v(t)=-3.727527, v'(t)=-0.414292, X(t)=-3.520223, Y(t)=-1.162961, Z(t)=-3.727527
t=1.380000, y(t)=-3.494615, y'(t)=1.379839, z(t)=-1.160822, z'(t)=0.136738, v(t)=-3.734071, v'(t)=-0.240186, X(t)=-3.494615, Y(t)=-1.160822, Z(t)=-3.734071
t=1.400000, y(t)=-3.465056, y'(t)=1.575276, z(t)=-1.157495, z'(t)=0.195880, v(t)=-3.737135, v'(t)=-0.066296, X(t)=-3.465056, Y(t)=-1.157495, Z(t)=-3.737135
t=1.420000, y(t)=-3.431634, y'(t)=1.766143, z(t)=-1.152991, z'(t)=0.254351, v(t)=-3.736727, v'(t)=0.107031, X(t)=-3.431634, Y(t)=-1.152991, Z(t)=-3.736727
t=1.440000, y(t)=-3.394444, y'(t)=1.951981, z(t)=-1.147326, z'(t)=0.312025, v(t)=-3.732860, v'(t)=0.279454, X(t)=-3.394444, Y(t)=-1.147326, Z(t)=-3.732860
t=1.460000, y(t)=-3.353592, y'(t)=2.132348, z(t)=-1.140516, z'(t)=0.368778, v(t)=-3.725557, v'(t)=0.450631, X(t)=-3.353592, Y(t)=-1.140516, Z(t)=-3.725557
t=1.480000, y(t)=-3.309190, y'(t)=2.306816, z(t)=-1.132582, z'(t)=0.424486, v(t)=-3.714845, v'(t)=0.620227, X(t)=-3.309190, Y(t)=-1.132582, Z(t)=-3.714845
t=1.500000, y(t)=-3.261361, y'(t)=2.474974, z(t)=-1.123545, z'(t)=0.479032, v(t)=-3.700761, v'(t)=0.787911, X(t)=-3.261361, Y(t)=-1.123545, Z(t)=-3.700761
t=1.520000, y(t)=-3.210235, y'(t)=2.636427, z(t)=-1.113429, z'(t)=0.532297, v(t)=-3.683344, v'(t)=0.953356, X(t)=-3.210235, Y(t)=-1.113429, Z(t)=-3.683344
t=1.540000, y(t)=-3.155951, y'(t)=2.790797, z(t)=-1.102262, z'(t)=0.584171, v(t)=-3.662643, v'(t)=1.116241, X(t)=-3.155951, Y(t)=-1.102262, Z(t)=-3.662643
t=1.560000, y(t)=-3.098653, y'(t)=2.937728, z(t)=-1.090072, z'(t)=0.634543, v(t)=-3.638713, v'(t)=1.276253, X(t)=-3.098653, Y(t)=-1.090072, Z(t)=-3.638713
t=1.580000, y(t)=-3.038494, y'(t)=3.076881, z(t)=-1.076891, z'(t)=0.683307, v(t)=-3.611615, v'(t)=1.433083, X(t)=-3.038494, Y(t)=-1.076891, Z(t)=-3.611615
t=1.600000, y(t)=-2.975632, y'(t)=3.207939, z(t)=-1.062751, z'(t)=0.730362, v(t)=-3.581413, v'(t)=1.586432, X(t)=-2.975632, Y(t)=-1.062751, Z(t)=-3.581413
t=1.620000, y(t)=-2.910232, y'(t)=3.330603, z(t)=-1.047688, z'(t)=0.775611, v(t)=-3.548182, v'(t)=1.736009, X(t)=-2.910232, Y(t)=-1.047688, Z(t)=-3.548182
t=1.640000, y(t)=-2.842466, y'(t)=3.444601, z(t)=-1.031740, z'(t)=0.818959, v(t)=-3.512000, v'(t)=1.881530, X(t)=-2.842466, Y(t)=-1.031740, Z(t)=-3.512000
t=1.660000, y(t)=-2.772508, y'(t)=3.549679, z(t)=-1.014943, z'(t)=0.860320, v(t)=-3.472950, v'(t)=2.022723, X(t)=-2.772508, Y(t)=-1.014943, Z(t)=-3.472950
t=1.680000, y(t)=-2.700539, y'(t)=3.645607, z(t)=-0.997341, z'(t)=0.899609, v(t)=-3.431122, v'(t)=2.159322, X(t)=-2.700539, Y(t)=-0.997341, Z(t)=-3.431122
t=1.700000, y(t)=-2.626746, y'(t)=3.732179, z(t)=-0.978973, z'(t)=0.936747, v(t)=-3.386610, v'(t)=2.291075, X(t)=-2.626746, Y(t)=-0.978973, Z(t)=-3.386610
t=1.720000, y(t)=-2.551316, y'(t)=3.809213, z(t)=-0.959885, z'(t)=0.971661, v(t)=-3.339513, v'(t)=2.417737, X(t)=-2.551316, Y(t)=-0.959885, Z(t)=-3.339513
t=1.740000, y(t)=-2.474442, y'(t)=3.876549, z(t)=-0.940122, z'(t)=1.004282, v(t)=-3.289936, v'(t)=2.539078, X(t)=-2.474442, Y(t)=-0.940122, Z(t)=-3.289936
t=1.760000, y(t)=-2.396319, y'(t)=3.934055, z(t)=-0.919730, z'(t)=1.034546, v(t)=-3.237987, v'(t)=2.654876, X(t)=-2.396319, Y(t)=-0.919730, Z(t)=-3.237987
t=1.780000, y(t)=-2.317146, y'(t)=3.981619, z(t)=-0.898756, z'(t)=1.062397, v(t)=-3.183779, v'(t)=2.764923, X(t)=-2.317146, Y(t)=-0.898756, Z(t)=-3.183779
t=1.800000, y(t)=-2.237121, y'(t)=4.019159, z(t)=-0.877250, z'(t)=1.087783, v(t)=-3.127429, v'(t)=2.869022, X(t)=-2.237121, Y(t)=-0.877250, Z(t)=-3.127429
t=1.820000, y(t)=-2.156447, y'(t)=4.046613, z(t)=-0.855262, z'(t)=1.110655, v(t)=-3.069059, v'(t)=2.966991, X(t)=-2.156447, Y(t)=-0.855262, Z(t)=-3.069059
t=1.840000, y(t)=-2.075324, y'(t)=4.063947, z(t)=-0.832841, z'(t)=1.130975, v(t)=-3.008792, v'(t)=3.058659, X(t)=-2.075324, Y(t)=-0.832841, Z(t)=-3.008792
t=1.860000, y(t)=-1.993957, y'(t)=4.071152, z(t)=-0.810040, z'(t)=1.148708, v(t)=-2.946756, v'(t)=3.143867, X(t)=-1.993957, Y(t)=-0.810040, Z(t)=-2.946756
t=1.880000, y(t)=-1.912546, y'(t)=4.068243, z(t)=-0.786910, z'(t)=1.163823, v(t)=-2.883081, v'(t)=3.222472, X(t)=-1.912546, Y(t)=-0.786910, Z(t)=-2.883081
t=1.900000, y(t)=-1.831294, y'(t)=4.055258, z(t)=-0.763505, z'(t)=1.176299, v(t)=-2.817902, v'(t)=3.294344, X(t)=-1.831294, Y(t)=-0.763505, Z(t)=-2.817902
t=1.920000, y(t)=-1.750402, y'(t)=4.032264, z(t)=-0.739876, z'(t)=1.186118, v(t)=-2.751353, v'(t)=3.359367, X(t)=-1.750402, Y(t)=-0.739876, Z(t)=-2.751353
t=1.940000, y(t)=-1.670070, y'(t)=3.999348, z(t)=-0.716078, z'(t)=1.193269, v(t)=-2.683573, v'(t)=3.417438, X(t)=-1.670070, Y(t)=-0.716078, Z(t)=-2.683573
t=1.960000, y(t)=-1.590494, y'(t)=3.956624, z(t)=-0.692163, z'(t)=1.197746, v(t)=-2.614702, v'(t)=3.468469, X(t)=-1.590494, Y(t)=-0.692163, Z(t)=-2.614702
t=1.980000, y(t)=-1.511869, y'(t)=3.904228, z(t)=-0.668186, z'(t)=1.199551, v(t)=-2.544882, v'(t)=3.512387, X(t)=-1.511869, Y(t)=-0.668186, Z(t)=-2.544882
t=2.000000, y(t)=-1.434388, y'(t)=3.842319, z(t)=-0.644199, z'(t)=1.198690, v(t)=-2.474255, v'(t)=3.549133, X(t)=-1.434388, Y(t)=-0.644199, Z(t)=-2.474255
t=2.020000, y(t)=-1.358239, y'(t)=3.771079, z(t)=-0.620256, z'(t)=1.195176, v(t)=-2.402965, v'(t)=3.578662, X(t)=-1.358239, Y(t)=-0.620256, Z(t)=-2.402965
t=2.040000, y(t)=-1.283606, y'(t)=3.690714, z(t)=-0.596409, z'(t)=1.189027, v(t)=-2.331157, v'(t)=3.600944, X(t)=-1.283606, Y(t)=-0.596409, Z(t)=-2.331157
t=2.060000, y(t)=-1.210669, y'(t)=3.601449, z(t)=-0.572712, z'(t)=1.180268, v(t)=-2.258975, v'(t)=3.615964, X(t)=-1.210669, Y(t)=-0.572712, Z(t)=-2.258975
t=2.080000, y(t)=-1.139605, y'(t)=3.503531, z(t)=-0.549216, z'(t)=1.168927, v(t)=-2.186566, v'(t)=3.623720, X(t)=-1.139605, Y(t)=-0.549216, Z(t)=-2.186566
t=2.100000, y(t)=-1.070584, y'(t)=3.397229, z(t)=-0.525972, z'(t)=1.155041, v(t)=-2.114075, v'(t)=3.624227, X(t)=-1.070584, Y(t)=-0.525972, Z(t)=-2.114075
t=2.120000, y(t)=-1.003770, y'(t)=3.282828, z(t)=-0.503031, z'(t)=1.138650, v(t)=-2.041645, v'(t)=3.617512, X(t)=-1.003770, Y(t)=-0.503031, Z(t)=-2.041645
t=2.140000, y(t)=-0.939323, y'(t)=3.160634, z(t)=-0.480442, z'(t)=1.119801, v(t)=-1.969422, v'(t)=3.603617, X(t)=-0.939323, Y(t)=-0.480442, Z(t)=-1.969422
t=2.160000, y(t)=-0.877395, y'(t)=3.030972, z(t)=-0.458255, z'(t)=1.098546, v(t)=-1.897548, v'(t)=3.582600, X(t)=-0.877395, Y(t)=-0.458255, Z(t)=-1.897548
t=2.180000, y(t)=-0.818132, y'(t)=2.894181, z(t)=-0.436516, z'(t)=1.074940, v(t)=-1.826165, v'(t)=3.554529, X(t)=-0.818132, Y(t)=-0.436516, Z(t)=-1.826165
t=2.200000, y(t)=-0.761673, y'(t)=2.750619, z(t)=-0.415273, z'(t)=1.049046, v(t)=-1.755414, v'(t)=3.519489, X(t)=-0.761673, Y(t)=-0.415273, Z(t)=-1.755414
t=2.220000, y(t)=-0.708150, y'(t)=2.600658, z(t)=-0.394569, z'(t)=1.020931, v(t)=-1.685432, v'(t)=3.477579, X(t)=-0.708150, Y(t)=-0.394569, Z(t)=-1.685432
t=2.240000, y(t)=-0.657686, y'(t)=2.444684, z(t)=-0.374450, z'(t)=0.990665, v(t)=-1.616355, v'(t)=3.428907, X(t)=-0.657686, Y(t)=-0.374450, Z(t)=-1.616355
t=2.260000, y(t)=-0.610400, y'(t)=2.283097, z(t)=-0.354957, z'(t)=0.958325, v(t)=-1.548319, v'(t)=3.373600, X(t)=-0.610400, Y(t)=-0.354957, Z(t)=-1.548319
t=2.280000, y(t)=-0.566397, y'(t)=2.116309, z(t)=-0.336130, z'(t)=0.923989, v(t)=-1.481455, v'(t)=3.311793, X(t)=-0.566397, Y(t)=-0.336130, Z(t)=-1.481455
t=2.300000, y(t)=-0.525779, y'(t)=1.944744, z(t)=-0.318010, z'(t)=0.887743, v(t)=-1.415890, v'(t)=3.243635, X(t)=-0.525779, Y(t)=-0.318010, Z(t)=-1.415890
t=2.320000, y(t)=-0.488636, y'(t)=1.768834, z(t)=-0.300633, z'(t)=0.849673, v(t)=-1.351751, v'(t)=3.169288, X(t)=-0.488636, Y(t)=-0.300633, Z(t)=-1.351751
t=2.340000, y(t)=-0.455052, y'(t)=1.589022, z(t)=-0.284034, z'(t)=0.809873, v(t)=-1.289159, v'(t)=3.088924, X(t)=-0.455052, Y(t)=-0.284034, Z(t)=-1.289159
t=2.360000, y(t)=-0.425099, y'(t)=1.405758, z(t)=-0.268249, z'(t)=0.768436, v(t)=-1.228233, v'(t)=3.002727, X(t)=-0.425099, Y(t)=-0.268249, Z(t)=-1.228233
t=2.380000, y(t)=-0.398841, y'(t)=1.219499, z(t)=-0.253307, z'(t)=0.725462, v(t)=-1.169087, v'(t)=2.910893, X(t)=-0.398841, Y(t)=-0.253307, Z(t)=-1.169087
t=2.400000, y(t)=-0.376336, y'(t)=1.030707, z(t)=-0.239240, z'(t)=0.681051, v(t)=-1.111833, v'(t)=2.813627, X(t)=-0.376336, Y(t)=-0.239240, Z(t)=-1.111833
t=2.420000, y(t)=-0.357627, y'(t)=0.839851, z(t)=-0.226074, z'(t)=0.635309, v(t)=-1.056577, v'(t)=2.711144, X(t)=-0.357627, Y(t)=-0.226074, Z(t)=-1.056577
t=2.440000, y(t)=-0.342752, y'(t)=0.647399, z(t)=-0.213836, z'(t)=0.588340, v(t)=-1.003421, v'(t)=2.603669, X(t)=-0.342752, Y(t)=-0.213836, Z(t)=-1.003421
t=2.460000, y(t)=-0.331738, y'(t)=0.453826, z(t)=-0.202548, z'(t)=0.540256, v(t)=-0.952462, v'(t)=2.491437, X(t)=-0.331738, Y(t)=-0.202548, Z(t)=-0.952462
t=2.480000, y(t)=-0.324603, y'(t)=0.259603, z(t)=-0.192232, z'(t)=0.491166, v(t)=-0.903793, v'(t)=2.374689, X(t)=-0.324603, Y(t)=-0.192232, Z(t)=-0.903793
t=2.500000, y(t)=-0.321355, y'(t)=0.065205, z(t)=-0.182907, z'(t)=0.441183, v(t)=-0.857503, v'(t)=2.253677, X(t)=-0.321355, Y(t)=-0.182907, Z(t)=-0.857503
