t=0.290000, y(t)=-3.497480, y'(t)=1.666622, z(t)=-2.622532, z'(t)=4.503380, v(t)=-0.567566, v'(t)=-1.914865, X(t)=-3.497480, Y(t)=-2.622532, Z(t)=-0.567566
t=0.300000, y(t)=-3.480836, y'(t)=1.662125, z(t)=-2.577582, z'(t)=4.486637, v(t)=-0.586700, v'(t)=-1.911995, X(t)=-3.480836, Y(t)=-2.577582, Z(t)=-0.586700
t=0.310000, y(t)=-3.464237, y'(t)=1.657636, z(t)=-2.532799, z'(t)=4.469920, v(t)=-0.605806, v'(t)=-1.909129, X(t)=-3.464237, Y(t)=-2.532799, Z(t)=-0.605806
t=0.320000, y(t)=-3.447684, y'(t)=1.653153, z(t)=-2.488183, z'(t)=4.453228, v(t)=-0.624883, v'(t)=-1.906268, X(t)=-3.447684, Y(t)=-2.488183, Z(t)=-0.624883
t=0.330000, y(t)=-3.431174, y'(t)=1.648676, z(t)=-2.443735, z'(t)=4.436560, v(t)=-0.643931, v'(t)=-1.903410, X(t)=-3.431174, Y(t)=-2.443735, Z(t)=-0.643931
t=0.340000, y(t)=-3.414710, y'(t)=1.644207, z(t)=-2.399452, z'(t)=4.419918, v(t)=-0.662951, v'(t)=-1.900557, X(t)=-3.414710, Y(t)=-2.399452, Z(t)=-0.662951
t=0.350000, y(t)=-3.398290, y'(t)=1.639744, z(t)=-2.355336, z'(t)=4.403300, v(t)=-0.681942, v'(t)=-1.897709, X(t)=-3.398290, Y(t)=-2.355336, Z(t)=-0.681942
t=0.360000, y(t)=-3.381915, y'(t)=1.635287, z(t)=-2.311386, z'(t)=4.386708, v(t)=-0.700905, v'(t)=-1.894864, X(t)=-3.381915, Y(t)=-2.311386, Z(t)=-0.700905
t=0.370000, y(t)=-3.365584, y'(t)=1.630838, z(t)=-2.267602, z'(t)=4.370140, v(t)=-0.719840, v'(t)=-1.892024, X(t)=-3.365584, Y(t)=-2.267602, Z(t)=-0.719840
t=0.380000, y(t)=-3.349298, y'(t)=1.626395, z(t)=-2.223983, z'(t)=4.353597, v(t)=-0.738746, v'(t)=-1.889188, X(t)=-3.349298, Y(t)=-2.223983, Z(t)=-0.738746
t=0.390000, y(t)=-3.333057, y'(t)=1.621958, z(t)=-2.180530, z'(t)=4.337079, v(t)=-0.757623, v'(t)=-1.886356, X(t)=-3.333057, Y(t)=-2.180530, Z(t)=-0.757623
t=0.400000, y(t)=-3.316859, y'(t)=1.617529, z(t)=-2.137242, z'(t)=4.320586, v(t)=-0.776473, v'(t)=-1.883529, X(t)=-3.316859, Y(t)=-2.137242, Z(t)=-0.776473
t=0.410000, y(t)=-3.300706, y'(t)=1.613106, z(t)=-2.094118, z'(t)=4.304118, v(t)=-0.795294, v'(t)=-1.880706, X(t)=-3.300706, Y(t)=-2.094118, Z(t)=-0.795294
t=0.420000, y(t)=-3.284597, y'(t)=1.608690, z(t)=-2.051159, z'(t)=4.287674, v(t)=-0.814087, v'(t)=-1.877887, X(t)=-3.284597, Y(t)=-2.051159, Z(t)=-0.814087
t=0.430000, y(t)=-3.268532, y'(t)=1.604280, z(t)=-2.008364, z'(t)=4.271255, v(t)=-0.832852, v'(t)=-1.875072, X(t)=-3.268532, Y(t)=-2.008364, Z(t)=-0.832852
t=0.440000, y(t)=-3.252511, y'(t)=1.599877, z(t)=-1.965734, z'(t)=4.254860, v(t)=-0.851588, v'(t)=-1.872262, X(t)=-3.252511, Y(t)=-1.965734, Z(t)=-0.851588
t=0.450000, y(t)=-3.236535, y'(t)=1.595480, z(t)=-1.923267, z'(t)=4.238490, v(t)=-0.870297, v'(t)=-1.869455, X(t)=-3.236535, Y(t)=-1.923267, Z(t)=-0.870297
t=0.460000, y(t)=-3.220602, y'(t)=1.591090, z(t)=-1.880964, z'(t)=4.222145, v(t)=-0.888978, v'(t)=-1.866653, X(t)=-3.220602, Y(t)=-1.880964, Z(t)=-0.888978
t=0.470000, y(t)=-3.204713, y'(t)=1.586707, z(t)=-1.838824, z'(t)=4.205824, v(t)=-0.907630, v'(t)=-1.863855, X(t)=-3.204713, Y(t)=-1.838824, Z(t)=-0.907630
t=0.480000, y(t)=-3.188868, y'(t)=1.582330, z(t)=-1.796847, z'(t)=4.189527, v(t)=-0.926255, v'(t)=-1.861062, X(t)=-3.188868, Y(t)=-1.796847, Z(t)=-0.926255
t=0.490000, y(t)=-3.173066, y'(t)=1.577960, z(t)=-1.755034, z'(t)=4.173255, v(t)=-0.944851, v'(t)=-1.858272, X(t)=-3.173066, Y(t)=-1.755034, Z(t)=-0.944851
t=0.500000, y(t)=-3.157308, y'(t)=1.573596, z(t)=-1.713382, z'(t)=4.157007, v(t)=-0.963420, v'(t)=-1.855487, X(t)=-3.157308, Y(t)=-1.713382, Z(t)=-0.963420
t=0.510000, y(t)=-3.141594, y'(t)=1.569239, z(t)=-1.671893, z'(t)=4.140784, v(t)=-0.981961, v'(t)=-1.852706, X(t)=-3.141594, Y(t)=-1.671893, Z(t)=-0.981961
t=0.520000, y(t)=-3.125924, y'(t)=1.564889, z(t)=-1.630567, z'(t)=4.124585, v(t)=-1.000474, v'(t)=-1.849929, X(t)=-3.125924, Y(t)=-1.630567, Z(t)=-1.000474
t=0.530000, y(t)=-3.110296, y'(t)=1.560544, z(t)=-1.589402, z'(t)=4.108410, v(t)=-1.018960, v'(t)=-1.847156, X(t)=-3.110296, Y(t)=-1.589402, Z(t)=-1.018960
t=0.540000, y(t)=-3.094713, y'(t)=1.556207, z(t)=-1.548398, z'(t)=4.092260, v(t)=-1.037417, v'(t)=-1.844387, X(t)=-3.094713, Y(t)=-1.548398, Z(t)=-1.037417
t=0.550000, y(t)=-3.079172, y'(t)=1.551876, z(t)=-1.507556, z'(t)=4.076133, v(t)=-1.055847, v'(t)=-1.841623, X(t)=-3.079172, Y(t)=-1.507556, Z(t)=-1.055847
t=0.560000, y(t)=-3.063675, y'(t)=1.547551, z(t)=-1.466875, z'(t)=4.060031, v(t)=-1.074250, v'(t)=-1.838863, X(t)=-3.063675, Y(t)=-1.466875, Z(t)=-1.074250
t=0.570000, y(t)=-3.048221, y'(t)=1.543233, z(t)=-1.426356, z'(t)=4.043953, v(t)=-1.092625, v'(t)=-1.836106, X(t)=-3.048221, Y(t)=-1.426356, Z(t)=-1.092625
t=0.580000, y(t)=-3.032810, y'(t)=1.538922, z(t)=-1.385996, z'(t)=4.027899, v(t)=-1.110972, v'(t)=-1.833354, X(t)=-3.032810, Y(t)=-1.385996, Z(t)=-1.110972
t=0.590000, y(t)=-3.017443, y'(t)=1.534616, z(t)=-1.345798, z'(t)=4.011870, v(t)=-1.129292, v'(t)=-1.830606, X(t)=-3.017443, Y(t)=-1.345798, Z(t)=-1.129292
t=0.600000, y(t)=-3.002118, y'(t)=1.530318, z(t)=-1.305759, z'(t)=3.995864, v(t)=-1.147584, v'(t)=-1.827862, X(t)=-3.002118, Y(t)=-1.305759, Z(t)=-1.147584
t=0.610000, y(t)=-2.986836, y'(t)=1.526025, z(t)=-1.265880, z'(t)=3.979882, v(t)=-1.165849, v'(t)=-1.825123, X(t)=-2.986836, Y(t)=-1.265880, Z(t)=-1.165849
t=0.620000, y(t)=-2.971598, y'(t)=1.521740, z(t)=-1.226161, z'(t)=3.963924, v(t)=-1.184087, v'(t)=-1.822387, X(t)=-2.971598, Y(t)=-1.226161, Z(t)=-1.184087
t=0.630000, y(t)=-2.956402, y'(t)=1.517460, z(t)=-1.186602, z'(t)=3.947990, v(t)=-1.202297, v'(t)=-1.819655, X(t)=-2.956402, Y(t)=-1.186602, Z(t)=-1.202297
t=0.640000, y(t)=-2.941248, y'(t)=1.513187, z(t)=-1.147201, z'(t)=3.932080, v(t)=-1.220480, v'(t)=-1.816928, X(t)=-2.941248, Y(t)=-1.147201, Z(t)=-1.220480
t=0.650000, y(t)=-2.926138, y'(t)=1.508921, z(t)=-1.107960, z'(t)=3.916194, v(t)=-1.238635, v'(t)=-1.814205, X(t)=-2.926138, Y(t)=-1.107960, Z(t)=-1.238635
