t=1.550000, y(t)=1.215488, y'(t)=0.780263, z(t)=4.158495, z'(t)=0.233841, v(t)=0.000000, v'(t)=0.000000, X(t)=3.898753, Y(t)=1.446655, Z(t)=0.000000
t=1.600000, y(t)=1.254495, y'(t)=0.780038, z(t)=4.169865, z'(t)=0.221065, v(t)=0.000000, v'(t)=0.000000, X(t)=3.963008, Y(t)=1.297049, Z(t)=0.000000
t=1.650000, y(t)=1.293492, y'(t)=0.779814, z(t)=4.180615, z'(t)=0.209076, v(t)=0.000000, v'(t)=0.000000, X(t)=4.020902, Y(t)=1.144503, Z(t)=0.000000
t=1.700000, y(t)=1.332477, y'(t)=0.779591, z(t)=4.190784, z'(t)=0.197820, v(t)=0.000000, v'(t)=0.000000, X(t)=4.072336, Y(t)=0.989318, Z(t)=0.000000
t=1.750000, y(t)=1.371451, y'(t)=0.779370, z(t)=4.200408, z'(t)=0.187248, v(t)=0.000000, v'(t)=0.000000, X(t)=4.117225, Y(t)=0.831797, Z(t)=0.000000
t=1.800000, y(t)=1.410414, y'(t)=0.779150, z(t)=4.209520, z'(t)=0.177313, v(t)=0.000000, v'(t)=0.000000, X(t)=4.155496, Y(t)=0.672242, Z(t)=0.000000
t=1.850000, y(t)=1.449366, y'(t)=0.778930, z(t)=4.218150, z'(t)=0.167974, v(t)=0.000000, v'(t)=0.000000, X(t)=4.187089, Y(t)=0.510954, Z(t)=0.000000
t=1.900000, y(t)=1.488307, y'(t)=0.778712, z(t)=4.226326, z'(t)=0.159191, v(t)=0.000000, v'(t)=0.000000, X(t)=4.211956, Y(t)=0.348232, Z(t)=0.000000
t=1.950000, y(t)=1.527237, y'(t)=0.778494, z(t)=4.234077, z'(t)=0.150928, v(t)=0.000000, v'(t)=0.000000, X(t)=4.230061, Y(t)=0.184375, Z(t)=0.000000
t=2.000000, y(t)=1.566156, y'(t)=0.778278, z(t)=4.241427, z'(t)=0.143153, v(t)=0.000000, v'(t)=0.000000, X(t)=4.241382, Y(t)=0.019680, Z(t)=0.000000
t=2.050000, y(t)=1.605065, y'(t)=0.778062, z(t)=4.248400, z'(t)=0.135833, v(t)=0.000000, v'(t)=0.000000, X(t)=4.245906, Y(t)=-0.145558, Z(t)=0.000000
t=2.100000, y(t)=1.643963, y'(t)=0.777847, z(t)=4.255018, z'(t)=0.128940, v(t)=0.000000, v'(t)=0.000000, X(t)=4.243634, Y(t)=-0.311046, Z(t)=0.000000
t=2.150000, y(t)=1.682850, y'(t)=0.777632, z(t)=4.261301, z'(t)=0.122448, v(t)=0.000000, v'(t)=0.000000, X(t)=4.234577, Y(t)=-0.476494, Z(t)=0.000000
t=2.200000, y(t)=1.721726, y'(t)=0.777418, z(t)=4.267269, z'(t)=0.116331, v(t)=0.000000, v'(t)=0.000000, X(t)=4.218757, Y(t)=-0.641614, Z(t)=0.000000
