t=10.000000, y(t)=0.000000, y'(t)=0.000000, z(t)=0.000000, z'(t)=0.000000, v(t)=0.000000, v'(t)=0.000000, X(t)=0.000000, Y(t)=0.000000, Z(t)=0.000000
t=10.020000, y(t)=-0.000453, y'(t)=-0.045171, z(t)=-0.000688, z'(t)=-0.068777, v(t)=-0.001993, v'(t)=-0.199175, X(t)=-0.000453, Y(t)=-0.000688, Z(t)=-0.001993
t=10.040000, y(t)=-0.001802, y'(t)=-0.089652, z(t)=-0.002748, z'(t)=-0.137127, v(t)=-0.007959, v'(t)=-0.397158, X(t)=-0.001802, Y(t)=-0.002748, Z(t)=-0.007959
t=10.060000, y(t)=-0.004034, y'(t)=-0.133336, z(t)=-0.006170, z'(t)=-0.204900, v(t)=-0.017869, v'(t)=-0.593560, X(t)=-0.004034, Y(t)=-0.006170, Z(t)=-0.017869
t=10.080000, y(t)=-0.007130, y'(t)=-0.176121, z(t)=-0.010939, z'(t)=-0.271948, v(t)=-0.031688, v'(t)=-0.787995, X(t)=-0.007130, Y(t)=-0.010939, Z(t)=-0.031688
t=10.100000, y(t)=-0.011072, y'(t)=-0.217904, z(t)=-0.017042, z'(t)=-0.338126, v(t)=-0.049373, v'(t)=-0.980084, X(t)=-0.011072, Y(t)=-0.017042, Z(t)=-0.049373
t=10.120000, y(t)=-0.015839, y'(t)=-0.258587, z(t)=-0.024458, z'(t)=-0.403291, v(t)=-0.070874, v'(t)=-1.169454, X(t)=-0.015839, Y(t)=-0.024458, Z(t)=-0.070874
t=10.140000, y(t)=-0.021407, y'(t)=-0.298076, z(t)=-0.033166, z'(t)=-0.467301, v(t)=-0.096131, v'(t)=-1.355738, X(t)=-0.021407, Y(t)=-0.033166, Z(t)=-0.096131
t=10.160000, y(t)=-0.027753, y'(t)=-0.336278, z(t)=-0.043141, z'(t)=-0.530020, v(t)=-0.125080, v'(t)=-1.538578, X(t)=-0.027753, Y(t)=-0.043141, Z(t)=-0.125080
t=10.180000, y(t)=-0.034849, y'(t)=-0.373104, z(t)=-0.054357, z'(t)=-0.591314, v(t)=-0.157649, v'(t)=-1.717623, X(t)=-0.034849, Y(t)=-0.054357, Z(t)=-0.157649
t=10.200000, y(t)=-0.042667, y'(t)=-0.408470, z(t)=-0.066783, z'(t)=-0.651053, v(t)=-0.193757, v'(t)=-1.892532, X(t)=-0.042667, Y(t)=-0.066783, Z(t)=-0.193757
t=10.220000, y(t)=-0.051178, y'(t)=-0.442296, z(t)=-0.080388, z'(t)=-0.709111, v(t)=-0.233320, v'(t)=-2.062972, X(t)=-0.051178, Y(t)=-0.080388, Z(t)=-0.233320
t=10.240000, y(t)=-0.060348, y'(t)=-0.474504, z(t)=-0.095136, z'(t)=-0.765365, v(t)=-0.276244, v'(t)=-2.228623, X(t)=-0.060348, Y(t)=-0.095136, Z(t)=-0.276244
t=10.260000, y(t)=-0.070147, y'(t)=-0.505022, z(t)=-0.110990, z'(t)=-0.819698, v(t)=-0.322431, v'(t)=-2.389172, X(t)=-0.070147, Y(t)=-0.110990, Z(t)=-0.322431
t=10.280000, y(t)=-0.080538, y'(t)=-0.533782, z(t)=-0.127910, z'(t)=-0.871997, v(t)=-0.371775, v'(t)=-2.544321, X(t)=-0.080538, Y(t)=-0.127910, Z(t)=-0.371775
t=10.300000, y(t)=-0.091486, y'(t)=-0.560721, z(t)=-0.145855, z'(t)=-0.922155, v(t)=-0.424166, v'(t)=-2.693782, X(t)=-0.091486, Y(t)=-0.145855, Z(t)=-0.424166
t=10.320000, y(t)=-0.102954, y'(t)=-0.585780, z(t)=-0.164781, z'(t)=-0.970069, v(t)=-0.479487, v'(t)=-2.837281, X(t)=-0.102954, Y(t)=-0.164781, Z(t)=-0.479487
t=10.340000, y(t)=-0.114904, y'(t)=-0.608905, z(t)=-0.184642, z'(t)=-1.015642, v(t)=-0.537616, v'(t)=-2.974554, X(t)=-0.114904, Y(t)=-0.184642, Z(t)=-0.537616
t=10.360000, y(t)=-0.127297, y'(t)=-0.630047, z(t)=-0.205391, z'(t)=-1.058782, v(t)=-0.598426, v'(t)=-3.105354, X(t)=-0.127297, Y(t)=-0.205391, Z(t)=-0.598426
t=10.380000, y(t)=-0.140092, y'(t)=-0.649162, z(t)=-0.226977, z'(t)=-1.099403, v(t)=-0.661785, v'(t)=-3.229446, X(t)=-0.140092, Y(t)=-0.226977, Z(t)=-0.661785
t=10.400000, y(t)=-0.153250, y'(t)=-0.666211, z(t)=-0.249350, z'(t)=-1.137425, v(t)=-0.727557, v'(t)=-3.346609, X(t)=-0.153250, Y(t)=-0.249350, Z(t)=-0.727557
t=10.420000, y(t)=-0.166727, y'(t)=-0.681162, z(t)=-0.272456, z'(t)=-1.172774, v(t)=-0.795602, v'(t)=-3.456637, X(t)=-0.166727, Y(t)=-0.272456, Z(t)=-0.795602
t=10.440000, y(t)=-0.180482, y'(t)=-0.693985, z(t)=-0.296242, z'(t)=-1.205383, v(t)=-0.865774, v'(t)=-3.559341, X(t)=-0.180482, Y(t)=-0.296242, Z(t)=-0.865774
t=10.460000, y(t)=-0.194472, y'(t)=-0.704659, z(t)=-0.320653, z'(t)=-1.235190, v(t)=-0.937926, v'(t)=-3.654544, X(t)=-0.194472, Y(t)=-0.320653, Z(t)=-0.937926
t=10.480000, y(t)=-0.208654, y'(t)=-0.713164, z(t)=-0.345631, z'(t)=-1.262141, v(t)=-1.011905, v'(t)=-3.742086, X(t)=-0.208654, Y(t)=-0.345631, Z(t)=-1.011905
t=10.500000, y(t)=-0.222984, y'(t)=-0.719490, z(t)=-0.371119, z'(t)=-1.286187, v(t)=-1.087557, v'(t)=-3.821825, X(t)=-0.222984, Y(t)=-0.371119, Z(t)=-1.087557
t=10.520000, y(t)=-0.237419, y'(t)=-0.723629, z(t)=-0.397059, z'(t)=-1.307286, v(t)=-1.164725, v'(t)=-3.893632, X(t)=-0.237419, Y(t)=-0.397059, Z(t)=-1.164725
t=10.540000, y(t)=-0.251915, y'(t)=-0.725580, z(t)=-0.423391, z'(t)=-1.325403, v(t)=-1.243249, v'(t)=-3.957396, X(t)=-0.251915, Y(t)=-0.423391, Z(t)=-1.243249
t=10.560000, y(t)=-0.266427, y'(t)=-0.725346, z(t)=-0.450055, z'(t)=-1.340511, v(t)=-1.322966, v'(t)=-4.013022, X(t)=-0.266427, Y(t)=-0.450055, Z(t)=-1.322966
t=10.580000, y(t)=-0.280914, y'(t)=-0.722938, z(t)=-0.476991, z'(t)=-1.352587, v(t)=-1.403715, v'(t)=-4.060431, X(t)=-0.280914, Y(t)=-0.476991, Z(t)=-1.403715
t=10.600000, y(t)=-0.295331, y'(t)=-0.718370, z(t)=-0.504138, z'(t)=-1.361617, v(t)=-1.485329, v'(t)=-4.099563, X(t)=-0.295331, Y(t)=-0.504138, Z(t)=-1.485329
t=10.620000, y(t)=-0.309634, y'(t)=-0.711661, z(t)=-0.531435, z'(t)=-1.367594, v(t)=-1.567642, v'(t)=-4.130372, X(t)=-0.309634, Y(t)=-0.531435, Z(t)=-1.567642
t=10.640000, y(t)=-0.323783, y'(t)=-0.702837, z(t)=-0.558821, z'(t)=-1.370515, v(t)=-1.650488, v'(t)=-4.152829, X(t)=-0.323783, Y(t)=-0.558821, Z(t)=-1.650488
t=10.660000, y(t)=-0.337734, y'(t)=-0.691927, z(t)=-0.586235, z'(t)=-1.370387, v(t)=-1.733699, v'(t)=-4.166925, X(t)=-0.337734, Y(t)=-0.586235, Z(t)=-1.733699
t=10.680000, y(t)=-0.351446, y'(t)=-0.678967, z(t)=-0.613616, z'(t)=-1.367222, v(t)=-1.817109, v'(t)=-4.172663, X(t)=-0.351446, Y(t)=-0.613616, Z(t)=-1.817109
t=10.700000, y(t)=-0.364879, y'(t)=-0.663996, z(t)=-0.640904, z'(t)=-1.361040, v(t)=-1.900550, v'(t)=-4.170066, X(t)=-0.364879, Y(t)=-0.640904, Z(t)=-1.900550
t=10.720000, y(t)=-0.377993, y'(t)=-0.647060, z(t)=-0.668038, z'(t)=-1.351866, v(t)=-1.983856, v'(t)=-4.159172, X(t)=-0.377993, Y(t)=-0.668038, Z(t)=-1.983856
t=10.740000, y(t)=-0.390749, y'(t)=-0.628207, z(t)=-0.694959, z'(t)=-1.339733, v(t)=-2.066862, v'(t)=-4.140036, X(t)=-0.390749, Y(t)=-0.694959, Z(t)=-2.066862
t=10.760000, y(t)=-0.403109, y'(t)=-0.607492, z(t)=-0.721608, z'(t)=-1.324678, v(t)=-2.149403, v'(t)=-4.112730, X(t)=-0.403109, Y(t)=-0.721608, Z(t)=-2.149403
t=10.780000, y(t)=-0.415037, y'(t)=-0.584972, z(t)=-0.747927, z'(t)=-1.306748, v(t)=-2.231317, v'(t)=-4.077339, X(t)=-0.415037, Y(t)=-0.747927, Z(t)=-2.231317
t=10.800000, y(t)=-0.426496, y'(t)=-0.560711, z(t)=-0.773859, z'(t)=-1.285993, v(t)=-2.312444, v'(t)=-4.033968, X(t)=-0.426496, Y(t)=-0.773859, Z(t)=-2.312444
