t=10.000000, y(t)=0.000000, y'(t)=0.000000, z(t)=0.000000, z'(t)=0.000000, v(t)=0.000000, v'(t)=0.000000, X(t)=0.000000, Y(t)=0.000000, Z(t)=0.000000
t=10.820000, y(t)=-0.437454, y'(t)=-0.534773, z(t)=-0.799348, z'(t)=-1.262470, v(t)=-2.392624, v'(t)=-3.982733, X(t)=-0.437454, Y(t)=-0.799348, Z(t)=-2.392624
t=10.840000, y(t)=-0.447876, y'(t)=-0.507230, z(t)=-0.824340, z'(t)=-1.236244, v(t)=-2.471701, v'(t)=-3.923769, X(t)=-0.447876, Y(t)=-0.824340, Z(t)=-2.471701
t=10.860000, y(t)=-0.457733, y'(t)=-0.478156, z(t)=-0.848780, z'(t)=-1.207382, v(t)=-2.549524, v'(t)=-3.857225, X(t)=-0.457733, Y(t)=-0.848780, Z(t)=-2.549524
t=10.880000, y(t)=-0.466993, y'(t)=-0.447627, z(t)=-0.872618, z'(t)=-1.175959, v(t)=-2.625941, v'(t)=-3.783261, X(t)=-0.466993, Y(t)=-0.872618, Z(t)=-2.625941
t=10.900000, y(t)=-0.475629, y'(t)=-0.415725, z(t)=-0.895802, z'(t)=-1.142056, v(t)=-2.700806, v'(t)=-3.702057, X(t)=-0.475629, Y(t)=-0.895802, Z(t)=-2.700806
t=10.920000, y(t)=-0.483613, y'(t)=-0.382532, z(t)=-0.918284, z'(t)=-1.105756, v(t)=-2.773976, v'(t)=-3.613802, X(t)=-0.483613, Y(t)=-0.918284, Z(t)=-2.773976
t=10.940000, y(t)=-0.490922, y'(t)=-0.348136, z(t)=-0.940017, z'(t)=-1.067151, v(t)=-2.845312, v'(t)=-3.518700, X(t)=-0.490922, Y(t)=-0.940017, Z(t)=-2.845312
t=10.960000, y(t)=-0.497531, y'(t)=-0.312626, z(t)=-0.960956, z'(t)=-1.026335, v(t)=-2.914680, v'(t)=-3.416968, X(t)=-0.497531, Y(t)=-0.960956, Z(t)=-2.914680
t=10.980000, y(t)=-0.503420, y'(t)=-0.276092, z(t)=-0.981056, z'(t)=-0.983407, v(t)=-2.981948, v'(t)=-3.308836, X(t)=-0.503420, Y(t)=-0.981056, Z(t)=-2.981948
t=11.000000, y(t)=-0.508569, y'(t)=-0.238629, z(t)=-1.000278, z'(t)=-0.938471, v(t)=-3.046992, v'(t)=-3.194544, X(t)=-0.508569, Y(t)=-1.000278, Z(t)=-3.046992
t=11.020000, y(t)=-0.512960, y'(t)=-0.200332, z(t)=-1.018583, z'(t)=-0.891634, v(t)=-3.109691, v'(t)=-3.074344, X(t)=-0.512960, Y(t)=-1.018583, Z(t)=-3.109691
t=11.040000, y(t)=-0.516577, y'(t)=-0.161298, z(t)=-1.035932, z'(t)=-0.843008, v(t)=-3.169928, v'(t)=-2.948500, X(t)=-0.516577, Y(t)=-1.035932, Z(t)=-3.169928
t=11.060000, y(t)=-0.519407, y'(t)=-0.121625, z(t)=-1.052292, z'(t)=-0.792707, v(t)=-3.227595, v'(t)=-2.817284, X(t)=-0.519407, Y(t)=-1.052292, Z(t)=-3.227595
t=11.080000, y(t)=-0.521439, y'(t)=-0.081414, z(t)=-1.067630, z'(t)=-0.740851, v(t)=-3.282586, v'(t)=-2.680980, X(t)=-0.521439, Y(t)=-1.067630, Z(t)=-3.282586
t=11.100000, y(t)=-0.522661, y'(t)=-0.040765, z(t)=-1.081916, z'(t)=-0.687560, v(t)=-3.334802, v'(t)=-2.539880, X(t)=-0.522661, Y(t)=-1.081916, Z(t)=-3.334802
t=11.120000, y(t)=-0.523067, y'(t)=0.000221, z(t)=-1.095123, z'(t)=-0.632957, v(t)=-3.384151, v'(t)=-2.394283, X(t)=-0.523067, Y(t)=-1.095123, Z(t)=-3.384151
t=11.140000, y(t)=-0.522651, y'(t)=0.041442, z(t)=-1.107227, z'(t)=-0.577170, v(t)=-3.430546, v'(t)=-2.244497, X(t)=-0.522651, Y(t)=-1.107227, Z(t)=-3.430546
t=11.160000, y(t)=-0.521408, y'(t)=0.082796, z(t)=-1.118203, z'(t)=-0.520326, v(t)=-3.473905, v'(t)=-2.090839, X(t)=-0.521408, Y(t)=-1.118203, Z(t)=-3.473905
t=11.180000, y(t)=-0.519339, y'(t)=0.124181, z(t)=-1.128033, z'(t)=-0.462555, v(t)=-3.514155, v'(t)=-1.933628, X(t)=-0.519339, Y(t)=-1.128033, Z(t)=-3.514155
t=11.200000, y(t)=-0.516442, y'(t)=0.165496, z(t)=-1.136700, z'(t)=-0.403990, v(t)=-3.551229, v'(t)=-1.773194, X(t)=-0.516442, Y(t)=-1.136700, Z(t)=-3.551229
t=11.220000, y(t)=-0.512720, y'(t)=0.206640, z(t)=-1.144189, z'(t)=-0.344764, v(t)=-3.585064, v'(t)=-1.609867, X(t)=-0.512720, Y(t)=-1.144189, Z(t)=-3.585064
t=11.240000, y(t)=-0.508178, y'(t)=0.247512, z(t)=-1.150487, z'(t)=-0.285010, v(t)=-3.615606, v'(t)=-1.443986, X(t)=-0.508178, Y(t)=-1.150487, Z(t)=-3.615606
t=11.260000, y(t)=-0.502822, y'(t)=0.288014, z(t)=-1.155586, z'(t)=-0.224863, v(t)=-3.642809, v'(t)=-1.275890, X(t)=-0.502822, Y(t)=-1.155586, Z(t)=-3.642809
t=11.280000, y(t)=-0.496660, y'(t)=0.328048, z(t)=-1.159480, z'(t)=-0.164457, v(t)=-3.666630, v'(t)=-1.105923, X(t)=-0.496660, Y(t)=-1.159480, Z(t)=-3.666630
t=11.300000, y(t)=-0.489704, y'(t)=0.367518, z(t)=-1.162164, z'(t)=-0.103928, v(t)=-3.687035, v'(t)=-0.934432, X(t)=-0.489704, Y(t)=-1.162164, Z(t)=-3.687035
t=11.320000, y(t)=-0.481964, y'(t)=0.406330, z(t)=-1.163637, z'(t)=-0.043411, v(t)=-3.703999, v'(t)=-0.761764, X(t)=-0.481964, Y(t)=-1.163637, Z(t)=-3.703999
t=11.340000, y(t)=-0.473456, y'(t)=0.444390, z(t)=-1.163901, z'(t)=0.016961, v(t)=-3.717500, v'(t)=-0.588268, X(t)=-0.473456, Y(t)=-1.163901, Z(t)=-3.717500
t=11.360000, y(t)=-0.464194, y'(t)=0.481609, z(t)=-1.162961, z'(t)=0.077055, v(t)=-3.727527, v'(t)=-0.414292, X(t)=-0.464194, Y(t)=-1.162961, Z(t)=-3.727527
t=11.380000, y(t)=-0.454197, y'(t)=0.517898, z(t)=-1.160822, z'(t)=0.136738, v(t)=-3.734071, v'(t)=-0.240186, X(t)=-0.454197, Y(t)=-1.160822, Z(t)=-3.734071
t=11.400000, y(t)=-0.443485, y'(t)=0.553174, z(t)=-1.157495, z'(t)=0.195880, v(t)=-3.737135, v'(t)=-0.066296, X(t)=-0.443485, Y(t)=-1.157495, Z(t)=-3.737135
t=11.420000, y(t)=-0.432078, y'(t)=0.587353, z(t)=-1.152991, z'(t)=0.254351, v(t)=-3.736727, v'(t)=0.107031, X(t)=-0.432078, Y(t)=-1.152991, Z(t)=-3.736727
t=11.440000, y(t)=-0.419999, y'(t)=0.620356, z(t)=-1.147326, z'(t)=0.312025, v(t)=-3.732860, v'(t)=0.279454, X(t)=-0.419999, Y(t)=-1.147326, Z(t)=-3.732860
t=11.460000, y(t)=-0.407272, y'(t)=0.652106, z(t)=-1.140516, z'(t)=0.368778, v(t)=-3.725557, v'(t)=0.450631, X(t)=-0.407272, Y(t)=-1.140516, Z(t)=-3.725557
t=11.480000, y(t)=-0.393923, y'(t)=0.682532, z(t)=-1.132582, z'(t)=0.424486, v(t)=-3.714845, v'(t)=0.620227, X(t)=-0.393923, Y(t)=-1.132582, Z(t)=-3.714845
t=11.500000, y(t)=-0.379980, y'(t)=0.711564, z(t)=-1.123545, z'(t)=0.479032, v(t)=-3.700761, v'(t)=0.787911, X(t)=-0.379980, Y(t)=-1.123545, Z(t)=-3.700761
t=11.520000, y(t)=-0.365470, y'(t)=0.739136, z(t)=-1.113429, z'(t)=0.532297, v(t)=-3.683344, v'(t)=0.953356, X(t)=-0.365470, Y(t)=-1.113429, Z(t)=-3.683344
t=11.540000, y(t)=-0.350425, y'(t)=0.765187, z(t)=-1.102262, z'(t)=0.584171, v(t)=-3.662643, v'(t)=1.116241, X(t)=-0.350425, Y(t)=-1.102262, Z(t)=-3.662643
t=11.560000, y(t)=-0.334873, y'(t)=0.789658, z(t)=-1.090072, z'(t)=0.634543, v(t)=-3.638713, v'(t)=1.276253, X(t)=-0.334873, Y(t)=-1.090072, Z(t)=-3.638713
t=11.580000, y(t)=-0.318849, y'(t)=0.812497, z(t)=-1.076891, z'(t)=0.683307, v(t)=-3.611615, v'(t)=1.433083, X(t)=-0.318849, Y(t)=-1.076891, Z(t)=-3.611615
t=11.600000, y(t)=-0.302385, y'(t)=0.833653, z(t)=-1.062751, z'(t)=0.730362, v(t)=-3.581413, v'(t)=1.586432, X(t)=-0.302385, Y(t)=-1.062751, Z(t)=-3.581413
t=11.620000, y(t)=-0.285515, y'(t)=0.853083, z(t)=-1.047688, z'(t)=0.775611, v(t)=-3.548182, v'(t)=1.736009, X(t)=-0.285515, Y(t)=-1.047688, Z(t)=-3.548182
t=11.640000, y(t)=-0.268273, y'(t)=0.870744, z(t)=-1.031740, z'(t)=0.818959, v(t)=-3.512000, v'(t)=1.881530, X(t)=-0.268273, Y(t)=-1.031740, Z(t)=-3.512000
t=11.660000, y(t)=-0.250697, y'(t)=0.886601, z(t)=-1.014943, z'(t)=0.860320, v(t)=-3.472950, v'(t)=2.022723, X(t)=-0.250697, Y(t)=-1.014943, Z(t)=-3.472950
t=11.680000, y(t)=-0.232821, y'(t)=0.900622, z(t)=-0.997341, z'(t)=0.899609, v(t)=-3.431122, v'(t)=2.159322, X(t)=-0.232821, Y(t)=-0.997341, Z(t)=-3.431122
t=11.700000, y(t)=-0.214684, y'(t)=0.912781, z(t)=-0.978973, z'(t)=0.936747, v(t)=-3.386610, v'(t)=2.291075, X(t)=-0.214684, Y(t)=-0.978973, Z(t)=-3.386610
t=11.720000, y(t)=-0.196323, y'(t)=0.923054, z(t)=-0.959885, z'(t)=0.971661, v(t)=-3.339513, v'(t)=2.417737, X(t)=-0.196323, Y(t)=-0.959885, Z(t)=-3.339513
t=11.740000, y(t)=-0.177775, y'(t)=0.931425, z(t)=-0.940122, z'(t)=1.004282, v(t)=-3.289936, v'(t)=2.539078, X(t)=-0.177775, Y(t)=-0.940122, Z(t)=-3.289936
t=11.760000, y(t)=-0.159079, y'(t)=0.937880, z(t)=-0.919730, z'(t)=1.034546, v(t)=-3.237987, v'(t)=2.654876, X(t)=-0.159079, Y(t)=-0.919730, Z(t)=-3.237987
t=11.780000, y(t)=-0.140272, y'(t)=0.942410, z(t)=-0.898756, z'(t)=1.062397, v(t)=-3.183779, v'(t)=2.764923, X(t)=-0.140272, Y(t)=-0.898756, Z(t)=-3.183779
t=11.800000, y(t)=-0.121395, y'(t)=0.945014, z(t)=-0.877250, z'(t)=1.087783, v(t)=-3.127429, v'(t)=2.869022, X(t)=-0.121395, Y(t)=-0.877250, Z(t)=-3.127429
t=11.820000, y(t)=-0.102485, y'(t)=0.945692, z(t)=-0.855262, z'(t)=1.110655, v(t)=-3.069059, v'(t)=2.966991, X(t)=-0.102485, Y(t)=-0.855262, Z(t)=-3.069059
t=11.840000, y(t)=-0.083580, y'(t)=0.944449, z(t)=-0.832841, z'(t)=1.130975, v(t)=-3.008792, v'(t)=3.058659, X(t)=-0.083580, Y(t)=-0.832841, Z(t)=-3.008792
t=11.860000, y(t)=-0.064720, y'(t)=0.941298, z(t)=-0.810040, z'(t)=1.148708, v(t)=-2.946756, v'(t)=3.143867, X(t)=-0.064720, Y(t)=-0.810040, Z(t)=-2.946756
t=11.880000, y(t)=-0.045941, y'(t)=0.936252, z(t)=-0.786910, z'(t)=1.163823, v(t)=-2.883081, v'(t)=3.222472, X(t)=-0.045941, Y(t)=-0.786910, Z(t)=-2.883081
t=11.900000, y(t)=-0.027282, y'(t)=0.929333, z(t)=-0.763505, z'(t)=1.176299, v(t)=-2.817902, v'(t)=3.294344, X(t)=-0.027282, Y(t)=-0.763505, Z(t)=-2.817902
t=11.920000, y(t)=-0.008780, y'(t)=0.920563, z(t)=-0.739876, z'(t)=1.186118, v(t)=-2.751353, v'(t)=3.359367, X(t)=-0.008780, Y(t)=-0.739876, Z(t)=-2.751353
t=11.940000, y(t)=0.009528, y'(t)=0.909974, z(t)=-0.716078, z'(t)=1.193269, v(t)=-2.683573, v'(t)=3.417438, X(t)=0.009528, Y(t)=-0.716078, Z(t)=-2.683573
t=11.960000, y(t)=0.027607, y'(t)=0.897596, z(t)=-0.692163, z'(t)=1.197746, v(t)=-2.614702, v'(t)=3.468469, X(t)=0.027607, Y(t)=-0.692163, Z(t)=-2.614702
t=11.980000, y(t)=0.045421, y'(t)=0.883469, z(t)=-0.668186, z'(t)=1.199551, v(t)=-2.544882, v'(t)=3.512387, X(t)=0.045421, Y(t)=-0.668186, Z(t)=-2.544882
t=12.000000, y(t)=0.062934, y'(t)=0.867633, z(t)=-0.644199, z'(t)=1.198690, v(t)=-2.474255, v'(t)=3.549133, X(t)=0.062934, Y(t)=-0.644199, Z(t)=-2.474255
t=12.020000, y(t)=0.080115, y'(t)=0.850135, z(t)=-0.620256, z'(t)=1.195176, v(t)=-2.402965, v'(t)=3.578662, X(t)=0.080115, Y(t)=-0.620256, Z(t)=-2.402965
t=12.040000, y(t)=0.096929, y'(t)=0.831023, z(t)=-0.596409, z'(t)=1.189027, v(t)=-2.331157, v'(t)=3.600944, X(t)=0.096929, Y(t)=-0.596409, Z(t)=-2.331157
t=12.060000, y(t)=0.113345, y'(t)=0.810351, z(t)=-0.572712, z'(t)=1.180268, v(t)=-2.258975, v'(t)=3.615964, X(t)=0.113345, Y(t)=-0.572712, Z(t)=-2.258975
t=12.080000, y(t)=0.129333, y'(t)=0.788176, z(t)=-0.549216, z'(t)=1.168927, v(t)=-2.186566, v'(t)=3.623720, X(t)=0.129333, Y(t)=-0.549216, Z(t)=-2.186566
t=12.100000, y(t)=0.144863, y'(t)=0.764557, z(t)=-0.525972, z'(t)=1.155041, v(t)=-2.114075, v'(t)=3.624227, X(t)=0.144863, Y(t)=-0.525972, Z(t)=-2.114075
t=12.120000, y(t)=0.159906, y'(t)=0.739560, z(t)=-0.503031, z'(t)=1.138650, v(t)=-2.041645, v'(t)=3.617512, X(t)=0.159906, Y(t)=-0.503031, Z(t)=-2.041645
t=12.140000, y(t)=0.174436, y'(t)=0.713250, z(t)=-0.480442, z'(t)=1.119801, v(t)=-1.969422, v'(t)=3.603617, X(t)=0.174436, Y(t)=-0.480442, Z(t)=-1.969422
t=12.160000, y(t)=0.188428, y'(t)=0.685697, z(t)=-0.458255, z'(t)=1.098546, v(t)=-1.897548, v'(t)=3.582600, X(t)=0.188428, Y(t)=-0.458255, Z(t)=-1.897548
t=12.180000, y(t)=0.201857, y'(t)=0.656974, z(t)=-0.436516, z'(t)=1.074940, v(t)=-1.826165, v'(t)=3.554529, X(t)=0.201857, Y(t)=-0.436516, Z(t)=-1.826165
t=12.200000, y(t)=0.214700, y'(t)=0.627155, z(t)=-0.415273, z'(t)=1.049046, v(t)=-1.755414, v'(t)=3.519489, X(t)=0.214700, Y(t)=-0.415273, Z(t)=-1.755414
t=12.220000, y(t)=0.226936, y'(t)=0.596318, z(t)=-0.394569, z'(t)=1.020931, v(t)=-1.685432, v'(t)=3.477579, X(t)=0.226936, Y(t)=-0.394569, Z(t)=-1.685432
t=12.240000, y(t)=0.238546, y'(t)=0.564543, z(t)=-0.374450, z'(t)=0.990665, v(t)=-1.616355, v'(t)=3.428907, X(t)=0.238546, Y(t)=-0.374450, Z(t)=-1.616355
t=12.260000, y(t)=0.249512, y'(t)=0.531911, z(t)=-0.354957, z'(t)=0.958325, v(t)=-1.548319, v'(t)=3.373600, X(t)=0.249512, Y(t)=-0.354957, Z(t)=-1.548319
t=12.280000, y(t)=0.259817, y'(t)=0.498506, z(t)=-0.336130, z'(t)=0.923989, v(t)=-1.481455, v'(t)=3.311793, X(t)=0.259817, Y(t)=-0.336130, Z(t)=-1.481455
t=12.300000, y(t)=0.269448, y'(t)=0.464412, z(t)=-0.318010, z'(t)=0.887743, v(t)=-1.415890, v'(t)=3.243635, X(t)=0.269448, Y(t)=-0.318010, Z(t)=-1.415890
t=12.320000, y(t)=0.278390, y'(t)=0.429715, z(t)=-0.300633, z'(t)=0.849673, v(t)=-1.351751, v'(t)=3.169288, X(t)=0.278390, Y(t)=-0.300633, Z(t)=-1.351751
t=12.340000, y(t)=0.286633, y'(t)=0.394504, z(t)=-0.284034, z'(t)=0.809873, v(t)=-1.289159, v'(t)=3.088924, X(t)=0.286633, Y(t)=-0.284034, Z(t)=-1.289159
t=12.360000, y(t)=0.294167, y'(t)=0.358866, z(t)=-0.268249, z'(t)=0.768436, v(t)=-1.228233, v'(t)=3.002727, X(t)=0.294167, Y(t)=-0.268249, Z(t)=-1.228233
t=12.380000, y(t)=0.300985, y'(t)=0.322891, z(t)=-0.253307, z'(t)=0.725462, v(t)=-1.169087, v'(t)=2.910893, X(t)=0.300985, Y(t)=-0.253307, Z(t)=-1.169087
t=12.400000, y(t)=0.307081, y'(t)=0.286667, z(t)=-0.239240, z'(t)=0.681051, v(t)=-1.111833, v'(t)=2.813627, X(t)=0.307081, Y(t)=-0.239240, Z(t)=-1.111833
t=12.420000, y(t)=0.312451, y'(t)=0.250285, z(t)=-0.226074, z'(t)=0.635309, v(t)=-1.056577, v'(t)=2.711144, X(t)=0.312451, Y(t)=-0.226074, Z(t)=-1.056577
t=12.440000, y(t)=0.317092, y'(t)=0.213834, z(t)=-0.213836, z'(t)=0.588340, v(t)=-1.003421, v'(t)=2.603669, X(t)=0.317092, Y(t)=-0.213836, Z(t)=-1.003421
t=12.460000, y(t)=0.321004, y'(t)=0.177404, z(t)=-0.202548, z'(t)=0.540256, v(t)=-0.952462, v'(t)=2.491437, X(t)=0.321004, Y(t)=-0.202548, Z(t)=-0.952462
t=12.480000, y(t)=0.324189, y'(t)=0.141085, z(t)=-0.192232, z'(t)=0.491166, v(t)=-0.903793, v'(t)=2.374689, X(t)=0.324189, Y(t)=-0.192232, Z(t)=-0.903793
t=12.500000, y(t)=0.326649, y'(t)=0.104963, z(t)=-0.182907, z'(t)=0.441183, v(t)=-0.857503, v'(t)=2.253677, X(t)=0.326649, Y(t)=-0.182907, Z(t)=-0.857503
t=12.520000, y(t)=0.328389, y'(t)=0.069128, z(t)=-0.174590, z'(t)=0.390422, v(t)=-0.813673, v'(t)=2.128659, X(t)=0.328389, Y(t)=-0.174590, Z(t)=-0.813673
